host,serial,model,dataset_name,keep_rate,keep_rate_single,reduction_loc,ifa_head,clc,num_clr,ifa_dws_conv_groups,lasso_loss_weight,seed,lr,epochs,input_size,batch_size,num_images_train,num_images_val,test_acc,val_test_loss,train_acc1,train_loss,time_total,max_memory,flops,no_params,throughput
buyatti,14,glsf_vit_base_patch16_224.dino,aircraft,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,82.65826823237133,0.7520223345075335,99.90985576923076,0.0028935501960894237,19.49,4.0801,12.1781,86.7336,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,5994,5794,80.66966091389075,0.8445882245528796,100.0,0.0008272959746141484,13.31,3.0215,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,6667,3333,84.24842754127097,0.7324987139020648,99.93990384615384,0.003675152476017292,18.65,2.9492,5.9631,86.7505,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,5994,5794,62.85813086091299,1.5999241348140496,100.0,0.00062368497411835,14.37,2.877,5.9622,86.8881,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,5994,5794,62.754575632587155,1.6204440534607438,100.0,0.000767321271054885,14.26,2.877,5.9622,86.8881,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,6667,3333,74.58746107841375,1.1007917131696427,99.8497596153846,0.007026049845780318,17.61,2.9062,5.962,86.7344,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,6667,3333,73.44734688388883,1.1441580636160715,99.98497596153848,0.003329796680750755,17.0,2.9062,5.962,86.7344,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,73.50735290280127,1.1014264787946428,99.96995192307692,0.0033372592252607527,17.0,2.9062,5.962,86.7344,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,61.33895915857415,1.6573879258315452,100.0,0.00490772874848028,31.55,8.0488,5.9636,88.2868,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,35.717491809591984,2.8958473041845494,99.30119346733667,0.2374874101811318,30.25,8.0488,5.9636,88.2868,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,44.11738429873591,2.5929830002682404,99.99214824120602,0.005155462912054517,28.16,8.0488,5.9636,88.2868,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,41.00000152587891,2.482121394230769,100.0,0.2665535608927409,3.15,2.8906,5.9622,86.8881,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,600,600,52.000001220703126,2.0967548076923075,100.0,0.07318332460191515,3.21,2.8906,5.9622,86.8881,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,600,600,54.00000183105469,2.0653545673076925,100.0,0.18150006400214305,2.89,2.8906,5.9622,86.8881,
buyatti,14,glsf_deit3_base_patch16_224.fb_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,5994,5794,75.04315010415796,1.1009415555591426,100.0,0.0012841274672969775,13.11,3.0215,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,5994,5794,75.31929822769665,1.0789572975852273,100.0,0.0014849225069112318,13.15,3.0215,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,5994,5794,74.87055803061273,1.115898195377066,100.0,0.0010447059085662352,13.39,3.0215,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,6667,3333,81.09811239302641,0.8394106183733259,99.9549278846154,0.002131707052915142,17.37,3.0391,5.9631,86.7505,
buyatti,14,glsf_vit_base_patch16_clip_224.laion2b,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,5994,5794,61.73628051831552,1.6794030055526858,100.0,0.0007844780257997665,14.5,2.957,5.9622,86.8881,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,600,600,50.83333526611328,2.3306790865384617,100.0,0.2645005120171441,3.54,2.9316,5.962,86.8873,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,600,600,51.000001220703126,2.1962890625,100.0,0.16796864403618705,3.46,2.9316,5.962,86.8873,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,53.50000152587891,2.1644381009615383,100.0,0.17454618877834743,3.45,2.9316,5.962,86.8873,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,83.94839733683452,0.7196815490722657,100.0,0.0021934211433220366,18.82,3.0391,5.9631,86.7505,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,62.31715157262451,1.6292331679184548,100.0,0.000736972710220658,34.76,8.0332,5.9647,88.3029,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,64.21071733346183,1.5192588184012876,100.0,0.0020549409653074177,34.35,8.0332,5.9647,88.3029,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,60.10948755633496,1.780007292784335,100.0,0.0011475308699973265,31.06,8.0332,5.9647,88.3029,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,46.66666839599609,2.4581580528846154,100.0,0.10379142231411403,3.51,2.9297,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,600,600,47.83333465576172,2.5112680288461537,100.0,0.10762267642551,3.16,2.9297,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,soylocal,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,600,600,47.166667785644535,2.421574519230769,100.0,0.10410918129814996,3.31,2.9297,5.9633,86.9042,
buyatti,14,glsf_deit3_base_patch16_224.fb_in22k_ft_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,6667,3333,84.27843019363581,0.7005867004394531,99.9248798076923,0.003942142778004591,16.76,3.0391,5.9631,86.7505,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,5994,5794,72.79944994303948,1.1251987425748966,100.0,0.0013511831508600776,13.33,2.9297,5.962,86.8873,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,5994,5794,70.26234246156197,1.2462198556947317,100.0,0.0011983559252744052,13.48,2.9297,5.962,86.8873,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,6667,3333,76.65766831199721,0.9799525669642856,99.89483173076924,0.006480164682635894,16.23,2.9766,5.9619,86.7336,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,6667,3333,76.44764711532798,1.0482386997767856,99.9549278846154,0.003339736973150418,15.27,2.9766,5.9619,86.7336,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,aircraft,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,76.4776503720013,0.9890311104910714,99.90985576923076,0.003419368205448756,15.58,2.9766,5.9619,86.7336,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,58.44925260539544,1.8410885528433476,99.97644472361809,0.0026846947382442917,28.56,8.0488,5.9634,88.286,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,58.996681167847655,1.807227400751073,100.0,0.001249646459093046,28.13,8.0488,5.9634,88.286,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,soygene,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,57.98259167233436,1.8464491684549356,100.0,0.0010530300457124134,33.69,8.0488,5.9634,88.286,
buyatti,14,glsf_deit_base_patch16_224.fb_in1k,cub,[0.1],0.1,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,5994,5794,71.29789629334782,1.230827899018595,100.0,0.001033121112355574,13.36,2.9297,5.962,86.8873,
calvin,14,maws_vit_base_patch16_224.mae,soygene,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,63.64534002504517,1.4782410977736051,100.0,0.0089873463083901,56.52,3.1348,9.2579,88.286,
calvin,14,maws_vit_base_patch16_224.orig_in21k,aircraft,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,6667,3333,84.51845431735556,0.6428981236049107,100.0,0.0006717888710017388,36.43,3.7578,12.0529,86.7336,
calvin,14,maws_vit_base_patch16_224.orig_in21k,aircraft,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,6667,3333,84.27843040651722,0.6144313267299107,99.98497596153848,0.0010848136332172614,36.13,3.7578,12.0529,86.7336,
calvin,14,maws_vit_base_patch16_224.in1k_mocov3,soygene,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,58.80822227558135,1.758374128218884,100.0,0.0004974479539010992,68.88,3.8047,12.0544,88.286,
calvin,14,maws_vit_base_patch16_224.in1k_mocov3,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,46.3333349609375,2.5732421875,100.0,0.07928057511647542,3.98,3.7539,12.053,86.8873,
calvin,14,maws_vit_base_patch16_224.in1k_mocov3,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,600,600,47.333334350585936,2.4900841346153846,100.0,0.0792507595486111,3.98,3.7539,12.053,86.8873,
calvin,14,maws_vit_base_patch16_224.in1k_mocov3,soylocal,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,600,600,45.66666839599609,2.4989483173076925,100.0,0.08324048254224989,3.67,3.7539,12.053,86.8873,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,12763,11143,54.49161064334867,2.0328741114538627,100.0,0.0005999263750398579,30.78,8.0234,9.3211,88.286,
calvin,14,maws_vit_base_patch16_224.dino,cub,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,5994,5794,80.51432757629458,0.857974470154313,100.0,0.0006067483302424936,32.72,3.7637,12.053,86.8873,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,12763,11143,55.7839018900369,1.9726017636802575,100.0,0.0005041744709763695,30.48,8.0234,9.3211,88.286,
calvin,14,maws_vit_base_patch16_224.dino,cub,[0.7],0.7,"[3, 6, 9]",True,True,1,2,0,10,0.0001,45,224,32,5994,5794,79.61684766933348,0.9295425099774826,100.0,0.00041406071759800224,32.69,3.7637,12.053,86.8873,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soygene,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,1,0.0001,45,224,32,12763,11143,53.324958749233815,2.0998147465128754,100.0,0.0005884791289142628,30.56,8.0234,9.3211,88.286,
buyatti,14,glsf_vit_base_patch16_224.orig_in21k,soylocal,[0.5],0.5,"[3, 6, 9]",True,True,1,2,0,100,0.0001,45,224,32,600,600,44.8333349609375,2.4637920673076925,100.0,0.0989032851325141,2.95,3.5195,9.3197,86.8873,
